"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160260.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160270.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500003.1.1"	0.681241004556406	-0.240833023969804	3.98926020691553	-0.0603703472519318	0.951860675032638	1	0
"mRNA:Solyc00g500004.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500005.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500006.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500007.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500008.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500009.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500011.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500013.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500014.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500015.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010630.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010600.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500016.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500017.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500018.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g014290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g005280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500019.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500020.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500021.1.1"	1.02275547658725	-2.40041059019893	3.09276148414239	-0.776138283701032	0.437667341373224	1	0
"mRNA:Solyc00g500022.1.1"	0.34244201301675	-2.02650315318828	4.04294882069516	-0.50124383044746	0.616199530818032	1	0
"mRNA:Solyc00g180440.2.1"	0.33153571046541	-0.22537288848963	4.0804728567969	-0.0552320518721804	0.955953594198246	1	0
"mRNA:Solyc00g500023.1.1"	1.93155058057759	-4.51598178042211	2.39284190156022	-1.8872879890132	0.0591216010619254	0.250601225157074	0.428331451216983
"mRNA:Solyc00g500024.1.1"	0.35309736440089	-2.06468155775138	4.03945100402818	-0.511129248923297	0.60926055627949	1	0
"mRNA:Solyc00g500025.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500026.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500028.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500029.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500030.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500031.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500032.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500033.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500034.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500035.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500036.1.1"	0.328234343939835	-0.22537288848963	4.0804728567969	-0.0552320518721802	0.955953594198247	1	0
