	log2FoldChange_Pinfestans	log2FoldChange_Cfulvum	log2FoldChange_PSTVd_S23	log2FoldChange_PSTVd_M	log2FoldChange_Bcinerea	log2FoldChange_Mincognita_7dpi	log2FoldChange_Mincognita_14dpi
mRNA:Solyc00g160260.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160270.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500003.1.1	0.0	-0.240833023969804	0.239575097207504	-0.832203262347382	-0.584495283296421	0.0	0.0
mRNA:Solyc00g500004.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500005.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500006.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500007.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500008.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500009.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500010.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500011.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500013.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500014.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500015.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc02g010630.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc02g010600.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500016.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500017.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500018.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g014290.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g005280.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500019.1.1	0.0	0.0	-0.666391776599386	1.35790071837944	0.0	0.0	0.0
mRNA:Solyc00g500020.1.1	0.0	0.0	-0.271331365634797	-0.464107079810141	0.0	0.0	0.0
mRNA:Solyc00g500021.1.1	0.0	-2.40041059019893	-1.2568519415284	-1.45667941854448	0.0	0.0	0.0
mRNA:Solyc00g500022.1.1	0.0	-2.02650315318828	-1.63202311463206	0.434689554358014	0.0	0.0	0.0
