	stat_Pinfestans	stat_Cfulvum	stat_PSTVd_S23	stat_PSTVd_M	stat_Bcinerea	stat_Mincognita_7dpi	stat_Mincognita_14dpi
mRNA:Solyc00g160260.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g160270.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500003.1.1	0.0	-0.0603703472519318	0.179658011784114	-0.42072621575803	-0.189860964195333	0.0	0.0
mRNA:Solyc00g500004.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500005.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500006.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500007.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500008.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500009.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500010.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500011.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500013.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500014.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500015.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc02g010630.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc02g010600.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500016.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500017.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500018.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g014290.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g005280.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mRNA:Solyc00g500019.1.1	0.0	0.0	-0.299256452442456	0.491142546282046	0.0	0.0	0.0
mRNA:Solyc00g500020.1.1	0.0	0.0	-0.119136036617017	-0.174408434486523	0.0	0.0	0.0
mRNA:Solyc00g500021.1.1	0.0	-0.776138283701032	-0.554096980233931	-0.52002590314859	0.0	0.0	0.0
mRNA:Solyc00g500022.1.1	0.0	-0.50124383044746	-1.18819981260563	0.334172734284296	0.0	0.0	0.0
