"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160260.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160270.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500003.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500004.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500005.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500006.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500007.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500008.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500009.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500011.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500013.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500014.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500015.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010630.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010600.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500016.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500017.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500018.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g014290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g005280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500019.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500020.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500021.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500022.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g180440.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500023.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500024.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500025.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500026.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500028.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500029.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500030.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500031.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500032.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500033.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500034.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500035.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500036.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500037.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500038.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500039.1.1"	0.373351356959662	-0.27999431606471	2.1295004157898	-0.131483569568059	0.895392783318022	1	0.253930411020392
"mRNA:Solyc00g500040.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160280.1.1"	0	NA	NA	NA	NA	NA	NA
