"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"weight"
"mRNA:Solyc00g160260.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g160270.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500003.1.1"	0.605852740358135	0.239575097207504	1.33350633700316	0.179658011784114	0.857421058739917	1	0
"mRNA:Solyc00g500004.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500005.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500006.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500007.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500008.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500009.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500010.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500011.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500013.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500014.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500015.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010630.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc02g010600.2.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500016.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500017.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500018.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g014290.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g005280.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500019.1.1"	0.244700987340563	-0.666391776599386	2.22682508985341	-0.299256452442456	0.764744378788415	1	0
"mRNA:Solyc00g500020.1.1"	0.208153831167125	-0.271331365634797	2.27749196078293	-0.119136036617017	0.905167580952004	1	0
"mRNA:Solyc00g500021.1.1"	0.216845516966021	-1.2568519415284	2.26828874071427	-0.554096980233931	0.579512476675787	1	0
"mRNA:Solyc00g500022.1.1"	0.753567192057018	-1.63202311463206	1.37352581385547	-1.18819981260563	0.234754697516692	1	0
"mRNA:Solyc00g180440.2.1"	0.15241494735482	-1.75771197055586	2.96305701374045	-0.593208960342274	0.553041316764192	1	0
"mRNA:Solyc00g500023.1.1"	25.4016430640243	0.507365589057712	0.347007575983983	1.46211674952345	0.143709219592013	0.397927185766797	1.28178113956463
"mRNA:Solyc00g500024.1.1"	0.373434842290012	-0.40673921819542	1.8189751337991	-0.223609004124156	0.823061556791872	1	0
"mRNA:Solyc00g500025.1.1"	0.771110586193699	2.2626623686989	1.17752513642853	1.92154060979252	0.0546635877763235	1	0
"mRNA:Solyc00g500026.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500028.1.1"	0.462593784275532	-2.31265024767676	1.60498361768833	-1.44091828862882	0.149607768647267	1	0
"mRNA:Solyc00g500029.1.1"	0	NA	NA	NA	NA	NA	NA
"mRNA:Solyc00g500030.1.1"	0.122003669893052	-0.768453488478591	3.10628055265884	-0.247387019765754	0.804608718780308	1	0
"mRNA:Solyc00g500031.1.1"	0.429830006450832	-2.14601479879934	2.01864527019827	-1.06309653829796	0.287738174159083	1	0
"mRNA:Solyc00g500032.1.1"	0.0593124986432633	-0.213754555920079	3.11207686323008	-0.0686855001705257	0.945239960132044	1	0
