gene.name	pathway.name
Solyc10g050890	Metabolic pathways
Solyc01g108630	Metabolic pathways
Solyc08g081530	Metabolic pathways
Solyc04g079730	Metabolic pathways
Solyc02g085730	Metabolic pathways
Solyc09g092380	Metabolic pathways
Solyc01g105070	Metabolic pathways
Solyc01g105560	Metabolic pathways
Solyc04g082030	Metabolic pathways
Solyc12g044600	Metabolic pathways
Solyc02g082920	Metabolic pathways
Solyc11g006350	Metabolic pathways
Solyc01g006300	Metabolic pathways
Solyc09g009020	Metabolic pathways
Solyc07g019440	Metabolic pathways
Solyc01g102580	Metabolic pathways
Solyc11g012410	Metabolic pathways
Solyc01g080280	Metabolic pathways
Solyc09g008670	Metabolic pathways
Solyc06g054260	Metabolic pathways
Solyc02g081330	Metabolic pathways
Solyc05g012070	Metabolic pathways
Solyc12g006470	Metabolic pathways
Solyc06g068090	Metabolic pathways
Solyc10g086500	Metabolic pathways
Solyc07g026650	Metabolic pathways
Solyc11g072690	Metabolic pathways
Solyc01g112280	Metabolic pathways
Solyc11g065760	Metabolic pathways
Solyc01g009010	Metabolic pathways
Solyc07g054210	Metabolic pathways
Solyc02g082760	Metabolic pathways
Solyc03g006880	Metabolic pathways
Solyc02g081190	Metabolic pathways
Solyc00g021630	Metabolic pathways
Solyc00g019950	Metabolic pathways
Solyc05g050780	Metabolic pathways
Solyc01g008290	Metabolic pathways
Solyc12g095880	Metabolic pathways
Solyc11g007000	Metabolic pathways
Solyc09g065780	Metabolic pathways
Solyc06g035690	Metabolic pathways
Solyc07g064810	Metabolic pathways
Solyc05g052150	Metabolic pathways
Solyc10g083890	Metabolic pathways
Solyc01g006310	Metabolic pathways
Solyc07g063600	Metabolic pathways
Solyc07g064830	Metabolic pathways
Solyc02g081240	Metabolic pathways
Solyc04g045340	Metabolic pathways
Solyc04g007910	Metabolic pathways
Solyc05g007590	Metabolic pathways
Solyc12g099260	Metabolic pathways
Solyc07g055300	Metabolic pathways
Solyc11g005620	Metabolic pathways
Solyc04g083160	Metabolic pathways
Solyc03g118270	Metabolic pathways
Solyc06g053310	Metabolic pathways
Solyc06g083680	Metabolic pathways
Solyc10g079500	Metabolic pathways
Solyc03g032220	Metabolic pathways
Solyc03g006810	Metabolic pathways
Solyc02g081340	Metabolic pathways
Solyc05g050970	Metabolic pathways
Solyc12g099360	Metabolic pathways
Solyc02g093250	Metabolic pathways
Solyc03g111200	Metabolic pathways
Solyc12g056250	Metabolic pathways
Solyc03g006700	Metabolic pathways
Solyc05g050980	Metabolic pathways
Solyc06g082940	Metabolic pathways
Solyc05g013380	Metabolic pathways
Solyc04g054890	Metabolic pathways
Solyc05g050990	Metabolic pathways
Solyc07g017900	Metabolic pathways
Solyc05g046330	Metabolic pathways
Solyc05g012150	Metabolic pathways
Solyc05g055510	Metabolic pathways
Solyc12g019140	Metabolic pathways
Solyc06g006080	Metabolic pathways
Solyc12g043020	Metabolic pathways
Solyc11g040390	Metabolic pathways
Solyc02g083620	Metabolic pathways
Solyc02g093290	Metabolic pathways
Solyc06g076510	Metabolic pathways
Solyc06g050630	Metabolic pathways
Solyc08g068580	Metabolic pathways
Solyc07g049570	Metabolic pathways
Solyc12g011170	Metabolic pathways
Solyc05g014970	Metabolic pathways
Solyc04g011350	Metabolic pathways
Solyc04g082630	Metabolic pathways
Solyc03g062830	Metabolic pathways
Solyc06g075080	Metabolic pathways
Solyc12g049590	Metabolic pathways
Solyc07g066150	Metabolic pathways
Solyc01g008560	Metabolic pathways
Solyc01g094500	Metabolic pathways
Solyc07g017770	Metabolic pathways
Solyc05g012090	Metabolic pathways
Solyc04g054950	Metabolic pathways
Solyc08g077180	Metabolic pathways
Solyc07g006530	Metabolic pathways
Solyc12g009820	Metabolic pathways
Solyc04g080610	Metabolic pathways
Solyc03g026290	Metabolic pathways
Solyc09g083050	Metabolic pathways
Solyc08g065470	Metabolic pathways
Solyc06g060250	Metabolic pathways
Solyc12g056530	Metabolic pathways
Solyc04g025940	Metabolic pathways
Solyc08g016010	Metabolic pathways
Solyc01g094750	Metabolic pathways
Solyc03g007810	Metabolic pathways
Solyc12g042900	Metabolic pathways
Solyc10g074920	Metabolic pathways
Solyc11g064920	Metabolic pathways
Solyc08g041870	Metabolic pathways
Solyc01g103230	Metabolic pathways
Solyc06g054240	Metabolic pathways
Solyc01g109370	Metabolic pathways
Solyc07g053270	Metabolic pathways
Solyc06g060310	Metabolic pathways
Solyc07g008850	Metabolic pathways
Solyc10g079110	Metabolic pathways
Solyc09g082970	Metabolic pathways
Solyc08g080900	Metabolic pathways
Solyc02g080220	Metabolic pathways
Solyc10g005110	Metabolic pathways
Solyc04g016360	Metabolic pathways
Solyc11g010120	Metabolic pathways
Solyc09g061680	Metabolic pathways
Solyc05g008370	Metabolic pathways
Solyc09g082860	Metabolic pathways
Solyc11g011330	Metabolic pathways
Solyc08g015660	Metabolic pathways
Solyc07g007620	Metabolic pathways
Solyc11g013830	Metabolic pathways
Solyc06g069530	Metabolic pathways
Solyc07g017430	Metabolic pathways
Solyc04g025530	Metabolic pathways
Solyc03g114930	Metabolic pathways
Solyc06g005720	Metabolic pathways
Solyc10g038080	Metabolic pathways
Solyc06g064550	Metabolic pathways
Solyc06g053980	Metabolic pathways
Solyc12g096320	Metabolic pathways
Solyc03g031880	Metabolic pathways
Solyc05g025500	Metabolic pathways
Solyc06g076880	Metabolic pathways
Solyc12g009470	Metabolic pathways
Solyc02g032860	Metabolic pathways
Solyc06g064880	Metabolic pathways
Solyc06g050130	Metabolic pathways
Solyc06g069580	Metabolic pathways
Solyc06g051900	Metabolic pathways
Solyc11g007720	Metabolic pathways
Solyc04g064490	Metabolic pathways
Solyc11g065220	Metabolic pathways
Solyc02g085350	Metabolic pathways
Solyc10g006400	Metabolic pathways
Solyc01g010390	Metabolic pathways
Solyc08g068160	Metabolic pathways
Solyc02g081730	Metabolic pathways
Solyc04g015100	Metabolic pathways
Solyc02g091510	Metabolic pathways
Solyc09g009780	Metabolic pathways
Solyc06g076950	Metabolic pathways
Solyc03g098300	Metabolic pathways
Solyc05g009390	Metabolic pathways
Solyc10g008740	Metabolic pathways
Solyc01g098550	Metabolic pathways
Solyc06g066400	Metabolic pathways
Solyc02g090450	Metabolic pathways
Solyc07g064280	Metabolic pathways
Solyc03g058970	Metabolic pathways
Solyc05g024160	Metabolic pathways
Solyc08g082440	Metabolic pathways
Solyc01g094700	Metabolic pathways
Solyc08g014330	Metabolic pathways
Solyc02g092710	Metabolic pathways
Solyc02g032330	Metabolic pathways
Solyc01g102940	Metabolic pathways
Solyc10g054570	Metabolic pathways
Solyc06g071640	Metabolic pathways
Solyc02g082860	Metabolic pathways
Solyc05g015950	Metabolic pathways
Solyc02g086710	Metabolic pathways
Solyc06g071290	Metabolic pathways
Solyc01g080940	Metabolic pathways
Solyc07g065470	Metabolic pathways
Solyc01g080930	Metabolic pathways
Solyc10g050160	Metabolic pathways
Solyc10g005880	Metabolic pathways
Solyc03g065340	Metabolic pathways
Solyc02g079170	Metabolic pathways
Solyc07g014730	Metabolic pathways
Solyc11g013200	Metabolic pathways
Solyc10g078740	Metabolic pathways
Solyc05g014000	Metabolic pathways
Solyc04g080020	Metabolic pathways
Solyc12g035470	Metabolic pathways
Solyc09g082460	Metabolic pathways
Solyc12g098850	Metabolic pathways
Solyc10g074500	Metabolic pathways
Solyc03g120090	Metabolic pathways
Solyc03g097800	Metabolic pathways
Solyc11g072530	Metabolic pathways
Solyc09g074900	Metabolic pathways
Solyc09g014350	Metabolic pathways
Solyc03g006140	Metabolic pathways
Solyc11g013170	Metabolic pathways
Solyc10g050230	Metabolic pathways
Solyc01g007950	Metabolic pathways
Solyc03g097030	Metabolic pathways
Solyc12g055740	Metabolic pathways
Solyc01g022750	Metabolic pathways
Solyc04g053120	Metabolic pathways
Solyc03g083550	Metabolic pathways
Solyc01g104000	Metabolic pathways
Solyc03g111850	Metabolic pathways
Solyc08g076650	Metabolic pathways
Solyc03g044660	Metabolic pathways
Solyc02g081980	Metabolic pathways
Solyc04g077440	Metabolic pathways
Solyc07g062130	Metabolic pathways
