tf.name	target.name	reg.evidence
Solyc01g065540	Solyc12g010270	motif, motif_CE
Solyc01g065540	Solyc12g010250	motif, motif_CE
Solyc01g065540	Solyc12g008710	motif
Solyc01g065540	Solyc11g068940	motif, motif_CE
Solyc01g065540	Solyc11g066890	motif
Solyc01g065540	Solyc10g076790	motif
Solyc01g065540	Solyc08g080690	motif, motif_CE
Solyc01g065540	Solyc08g078670	motif
Solyc01g065540	Solyc08g077110	motif
Solyc01g065540	Solyc08g065230	motif, motif_CE
Solyc01g065540	Solyc07g053900	motif, motif_CE
Solyc01g065540	Solyc07g043620	motif, motif_CE
Solyc01g065540	Solyc07g006700	motif
Solyc01g065540	Solyc07g005770	motif
Solyc01g065540	Solyc05g053570	motif
Solyc01g065540	Solyc05g051060	motif, motif_CE
Solyc01g065540	Solyc05g009010	motif, motif_CE
Solyc01g065540	Solyc04g078420	motif
Solyc01g065540	Solyc04g008790	motif
Solyc01g065540	Solyc03g121540	motif, motif_CE
Solyc01g065540	Solyc03g120120	motif
Solyc01g065540	Solyc03g098300	motif
Solyc01g065540	Solyc03g095850	motif
Solyc01g065540	Solyc03g031890	motif, motif_CE
Solyc01g065540	Solyc02g088070	motif
Solyc01g065540	Solyc02g087640	motif
Solyc01g065540	Solyc02g086780	motif
Solyc01g065540	Solyc02g082220	motif
Solyc01g065540	Solyc02g078960	motif
Solyc01g065540	Solyc02g061790	motif, motif_CE
Solyc01g065540	Solyc01g094700	motif, motif_CE
Solyc01g087990	Solyc12g099260	motif
Solyc01g087990	Solyc12g062870	motif
Solyc01g087990	Solyc12g057080	motif
Solyc01g087990	Solyc12g055910	motif
Solyc01g087990	Solyc12g044740	motif
Solyc01g087990	Solyc12g044680	motif
Solyc01g087990	Solyc12g009070	motif
Solyc01g087990	Solyc12g008900	motif, motif_CE
Solyc01g087990	Solyc11g065090	motif, motif_CE
Solyc01g087990	Solyc11g061960	motif
Solyc01g087990	Solyc11g040330	motif, motif_CE
Solyc01g087990	Solyc11g031950	motif
Solyc01g087990	Solyc11g020610	motif
Solyc01g087990	Solyc11g012880	motif
Solyc01g087990	Solyc11g010870	motif
Solyc01g087990	Solyc11g009100	motif
Solyc01g087990	Solyc11g008550	motif
Solyc01g087990	Solyc10g045240	motif
Solyc01g087990	Solyc10g044510	motif
Solyc01g087990	Solyc10g038080	motif
Solyc01g087990	Solyc10g011660	motif
Solyc01g087990	Solyc10g008490	motif
Solyc01g087990	Solyc10g007500	motif
Solyc01g087990	Solyc09g075560	motif
Solyc01g087990	Solyc09g066000	motif
Solyc01g087990	Solyc09g065280	motif
Solyc01g087990	Solyc09g047870	motif
Solyc01g087990	Solyc09g015380	motif
Solyc01g087990	Solyc09g010180	motif
Solyc01g087990	Solyc09g008400	motif
Solyc01g087990	Solyc08g076020	motif
Solyc01g087990	Solyc08g075670	motif
Solyc01g087990	Solyc08g066760	motif
Solyc01g087990	Solyc08g066270	motif
Solyc01g087990	Solyc07g063650	motif, motif_CE
Solyc01g087990	Solyc07g049560	motif, motif_CE
Solyc01g087990	Solyc07g042260	motif, motif_CE
Solyc01g087990	Solyc07g041340	motif, motif_CE
Solyc01g087990	Solyc07g007890	motif, motif_CE
Solyc01g087990	Solyc07g006500	motif, motif_CE
Solyc01g087990	Solyc07g006490	motif
Solyc01g087990	Solyc06g083580	motif
Solyc01g087990	Solyc06g082430	motif
Solyc01g087990	Solyc06g075450	FunTFBS, motif
Solyc01g087990	Solyc06g074500	motif
Solyc01g087990	Solyc06g071890	motif
Solyc01g087990	Solyc06g069450	FunTFBS, motif
Solyc01g087990	Solyc06g068500	motif
Solyc01g087990	Solyc06g068240	motif
Solyc01g087990	Solyc06g066240	motif
Solyc01g087990	Solyc06g065490	motif
Solyc01g087990	Solyc06g065340	motif
Solyc01g087990	Solyc06g059810	motif
Solyc01g087990	Solyc06g049030	motif
Solyc01g087990	Solyc06g005910	motif
Solyc01g087990	Solyc05g051560	motif
Solyc01g087990	Solyc05g050710	motif
Solyc01g087990	Solyc05g042070	motif
Solyc01g087990	Solyc05g015720	motif
Solyc01g087990	Solyc05g014550	motif
Solyc01g087990	Solyc05g013040	motif
Solyc01g087990	Solyc05g010290	motif
Solyc01g087990	Solyc05g009840	motif
Solyc01g087990	Solyc04g077420	motif
Solyc01g087990	Solyc04g072380	motif
Solyc01g087990	Solyc04g072060	motif
Solyc01g087990	Solyc04g064860	motif
Solyc01g087990	Solyc04g055180	motif
Solyc01g087990	Solyc04g050520	motif
Solyc01g087990	Solyc04g049800	FunTFBS, motif
Solyc01g087990	Solyc04g040200	motif
Solyc01g087990	Solyc03g121630	motif
Solyc01g087990	Solyc03g115530	motif
Solyc01g087990	Solyc03g114290	motif
Solyc01g087990	Solyc03g113780	motif
Solyc01g087990	Solyc03g095370	motif
Solyc01g087990	Solyc03g083140	motif, motif_CE
Solyc01g087990	Solyc03g059030	motif
Solyc01g087990	Solyc03g006630	motif
Solyc01g087990	Solyc02g092950	motif
Solyc01g087990	Solyc02g084000	motif
Solyc01g087990	Solyc02g082560	motif
Solyc01g087990	Solyc02g081330	motif, motif_CE
Solyc01g087990	Solyc02g077890	motif
Solyc01g087990	Solyc02g071010	motif
Solyc01g087990	Solyc02g069420	FunTFBS, motif, motif_CE
Solyc01g087990	Solyc02g068690	motif
Solyc01g087990	Solyc02g067750	motif
Solyc01g087990	Solyc02g031860	motif
Solyc01g087990	Solyc02g022830	motif
Solyc01g087990	Solyc02g014110	motif
Solyc01g087990	Solyc01g110280	motif
Solyc01g087990	Solyc01g107470	motif
Solyc01g087990	Solyc01g106460	motif, motif_CE
Solyc01g087990	Solyc01g102300	motif
Solyc01g087990	Solyc01g101140	motif
Solyc01g087990	Solyc01g095700	motif
Solyc01g087990	Solyc01g091660	motif
Solyc01g087990	Solyc01g088690	motif
Solyc01g087990	Solyc01g067080	motif
Solyc01g087990	Solyc01g056780	motif
Solyc01g087990	Solyc01g008290	motif
Solyc01g087990	Solyc01g006810	motif
Solyc01g095460	Solyc12g098850	FunTFBS, motif
Solyc01g095460	Solyc12g088650	motif
Solyc01g095460	Solyc12g062290	motif
Solyc01g095460	Solyc12g056920	motif
Solyc01g095460	Solyc12g043150	motif
Solyc01g095460	Solyc12g032950	motif
Solyc01g095460	Solyc12g017460	motif
Solyc01g095460	Solyc12g014410	motif
Solyc01g095460	Solyc12g013820	motif
Solyc01g095460	Solyc12g007200	motif
Solyc01g095460	Solyc12g006120	motif, motif_CE
Solyc01g095460	Solyc11g072840	motif, motif_CE
Solyc01g095460	Solyc11g072010	motif
Solyc01g095460	Solyc11g070030	motif
Solyc01g095460	Solyc11g068360	motif
Solyc01g095460	Solyc11g066060	motif
Solyc01g095460	Solyc11g065930	motif
Solyc01g095460	Solyc11g017330	motif
