tf.name	target.name	reg.evidence
Solyc01g065540	Solyc12g010270	motif, motif_CE
Solyc01g065540	Solyc12g010250	motif, motif_CE
Solyc01g065540	Solyc11g068940	motif, motif_CE
Solyc01g065540	Solyc08g080690	motif, motif_CE
Solyc01g065540	Solyc08g065230	motif, motif_CE
Solyc01g065540	Solyc07g053900	motif, motif_CE
Solyc01g065540	Solyc07g043620	motif, motif_CE
Solyc01g065540	Solyc05g051060	motif, motif_CE
Solyc01g065540	Solyc05g009010	motif, motif_CE
Solyc01g065540	Solyc03g121540	motif, motif_CE
Solyc01g065540	Solyc03g031890	motif, motif_CE
Solyc01g065540	Solyc02g061790	motif, motif_CE
Solyc01g065540	Solyc01g094700	motif, motif_CE
Solyc01g087990	Solyc12g008900	motif, motif_CE
Solyc01g087990	Solyc11g065090	motif, motif_CE
Solyc01g087990	Solyc11g040330	motif, motif_CE
Solyc01g087990	Solyc07g063650	motif, motif_CE
Solyc01g087990	Solyc07g049560	motif, motif_CE
Solyc01g087990	Solyc07g042260	motif, motif_CE
Solyc01g087990	Solyc07g041340	motif, motif_CE
Solyc01g087990	Solyc07g007890	motif, motif_CE
Solyc01g087990	Solyc07g006500	motif, motif_CE
Solyc01g087990	Solyc06g075450	FunTFBS, motif
Solyc01g087990	Solyc06g069450	FunTFBS, motif
Solyc01g087990	Solyc04g049800	FunTFBS, motif
Solyc01g087990	Solyc03g083140	motif, motif_CE
Solyc01g087990	Solyc02g081330	motif, motif_CE
Solyc01g087990	Solyc02g069420	FunTFBS, motif, motif_CE
Solyc01g087990	Solyc01g106460	motif, motif_CE
Solyc01g095460	Solyc12g098850	FunTFBS, motif
Solyc01g095460	Solyc12g006120	motif, motif_CE
Solyc01g095460	Solyc11g072840	motif, motif_CE
Solyc01g095460	Solyc11g012880	FunTFBS, motif
Solyc01g095460	Solyc11g010170	motif, motif_CE
Solyc01g095460	Solyc10g085680	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc10g081040	motif, motif_CE
Solyc01g095460	Solyc10g055450	motif, motif_CE
Solyc01g095460	Solyc09g092130	motif, motif_CE
Solyc01g095460	Solyc09g091240	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc09g090930	motif, motif_CE
Solyc01g095460	Solyc09g074360	motif, motif_CE
Solyc01g095460	Solyc09g065630	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc09g064820	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc09g018790	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc09g011160	motif, motif_CE
Solyc01g095460	Solyc09g007990	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc09g005120	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc08g082590	motif, motif_CE
Solyc01g095460	Solyc08g080690	motif, motif_CE
Solyc01g095460	Solyc08g076690	FunTFBS, motif
Solyc01g095460	Solyc08g008550	motif, motif_CE
Solyc01g095460	Solyc07g065880	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc07g053170	motif, motif_CE
Solyc01g095460	Solyc07g053140	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc07g045140	FunTFBS, motif
Solyc01g095460	Solyc06g083680	motif, motif_CE
Solyc01g095460	Solyc06g076140	motif, motif_CE
Solyc01g095460	Solyc06g075650	motif, motif_CE
Solyc01g095460	Solyc06g072050	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc06g071480	motif, motif_CE
Solyc01g095460	Solyc06g070900	motif, motif_CE
Solyc01g095460	Solyc06g068690	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc06g066090	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc06g060310	FunTFBS, motif
Solyc01g095460	Solyc06g053830	motif, motif_CE
Solyc01g095460	Solyc05g052420	motif, motif_CE
Solyc01g095460	Solyc05g024020	motif, motif_CE
Solyc01g095460	Solyc05g018210	motif, motif_CE
Solyc01g095460	Solyc05g009150	motif, motif_CE
Solyc01g095460	Solyc04g081890	motif, motif_CE
Solyc01g095460	Solyc04g081810	FunTFBS, motif
Solyc01g095460	Solyc04g079690	motif, motif_CE
Solyc01g095460	Solyc04g076020	FunTFBS, motif
Solyc01g095460	Solyc04g054890	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc04g051690	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc04g008230	motif, motif_CE
Solyc01g095460	Solyc04g005830	FunTFBS, motif
Solyc01g095460	Solyc04g005820	FunTFBS, motif
Solyc01g095460	Solyc03g119450	motif, motif_CE
Solyc01g095460	Solyc03g118670	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc03g118620	motif, motif_CE
Solyc01g095460	Solyc03g117680	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc03g116750	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc03g114160	motif, motif_CE
Solyc01g095460	Solyc03g112930	motif, motif_CE
Solyc01g095460	Solyc03g083190	motif, motif_CE
Solyc01g095460	Solyc03g051770	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc03g025340	motif, motif_CE
Solyc01g095460	Solyc03g005770	FunTFBS, motif
Solyc01g095460	Solyc02g093590	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc02g093190	motif, motif_CE
Solyc01g095460	Solyc02g091660	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc02g091010	motif, motif_CE
Solyc01g095460	Solyc02g089990	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc02g086300	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc02g023990	FunTFBS, motif
Solyc01g095460	Solyc01g109870	motif, motif_CE
Solyc01g095460	Solyc01g109060	motif, motif_CE
Solyc01g095460	Solyc01g106280	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc01g105410	FunTFBS, motif, motif_CE
Solyc01g095460	Solyc01g103170	motif, motif_CE
Solyc01g095460	Solyc01g095670	motif, motif_CE
Solyc01g095460	Solyc01g095200	motif, motif_CE
Solyc01g095460	Solyc01g094750	motif, motif_CE
Solyc01g095460	Solyc01g094720	motif, motif_CE
Solyc01g095460	Solyc01g088020	FunTFBS, motif
Solyc01g095460	Solyc01g080160	motif, motif_CE
Solyc01g095460	Solyc01g067890	motif, motif_CE
Solyc01g095460	Solyc01g005640	FunTFBS, motif, motif_CE
Solyc01g102300	Solyc12g099400	motif, motif_CE
Solyc01g102300	Solyc12g088680	motif, motif_CE
Solyc01g102300	Solyc12g055930	motif, motif_CE
Solyc01g102300	Solyc12g006120	motif, motif_CE
Solyc01g102300	Solyc11g056680	motif, motif_CE
Solyc01g102300	Solyc11g008250	motif, motif_CE
Solyc01g102300	Solyc10g086650	motif, motif_CE
Solyc01g102300	Solyc10g085680	motif, motif_CE
Solyc01g102300	Solyc10g079880	motif, motif_CE
