batch	sample_id	class
0	BC_C_0hpi_leaf_102	0
0	BC_C_0hpi_leaf_118	0
0	BC_C_0hpi_leaf_119	0
0	BC_C_0hpi_leaf_134	0
0	BC_C_0hpi_leaf_135	0
0	BC_C_0hpi_leaf_148	0
0	BC_C_0hpi_leaf_149	0
0	BC_I_30hpi_leaf_238	1
0	BC_I_30hpi_leaf_239	1
0	BC_I_30hpi_leaf_254	1
0	BC_I_30hpi_leaf_255	1
0	BC_I_30hpi_leaf_270	1
0	BC_I_30hpi_leaf_271	1
0	BC_I_30hpi_leaf_286	1
0	BC_I_30hpi_leaf_287	1
1	MI_I_168hpi_root_086	2
1	MI_I_168hpi_root_087	2
1	MI_C_168hpi_root_090	3
1	MI_C_168hpi_root_101	3
1	MI_I_336hpi_root_106	2
1	MI_I_336hpi_root_107	2
1	MI_I_336hpi_root_108	2
1	MI_I_336hpi_root_109	2
1	MI_I_336hpi_root_110	2
1	MI_I_336hpi_root_111	2
1	MI_C_168hpi_root_112	3
1	MI_I_336hpi_root_113	2
1	MI_I_336hpi_root_114	2
1	MI_C_336hpi_root_115	3
1	MI_C_336hpi_root_116	3
1	MI_C_336hpi_root_117	3
1	MI_C_336hpi_root_118	3
1	MI_C_336hpi_root_119	3
1	MI_C_336hpi_root_120	3
1	MI_C_336hpi_root_121	3
1	MI_C_336hpi_root_122	3
1	MI_C_168hpi_root_123	3
1	MI_C_168hpi_root_134	3
1	MI_C_168hpi_root_145	3
1	MI_I_168hpi_root_150	2
1	MI_I_168hpi_root_151	2
1	MI_I_168hpi_root_152	2
1	MI_I_168hpi_root_153	2
1	MI_I_168hpi_root_154	2
1	MI_I_168hpi_root_155	2
1	MI_C_168hpi_root_156	3
1	MI_C_168hpi_root_157	3
2	CF_I_72hpi_leaf_201	4
2	CF_I_72hpi_leaf_202	4
2	CF_I_72hpi_leaf_203	4
2	CF_C_72hpi_leaf_211	0
2	CF_C_72hpi_leaf_221	0
2	CF_C_72hpi_leaf_223	0
3	PI_I_72hpi_leaf_686	5
3	PI_I_72hpi_leaf_687	5
3	PI_I_72hpi_leaf_690	5
3	PI_I_72hpi_leaf_691	5
3	PI_I_72hpi_leaf_692	5
3	PI_I_72hpi_leaf_693	5
3	PI_C_0hpi_leaf_694	0
3	PI_C_0hpi_leaf_695	0
3	PI_C_0hpi_leaf_696	0
3	PI_C_0hpi_leaf_697	0
3	PI_C_0hpi_leaf_698	0
3	PI_C_0hpi_leaf_699	0
4	PM_I_408hpi_root_355	6
4	PM_I_408hpi_root_356	6
4	PM_I_408hpi_root_357	6
4	PM_I_408hpi_root_358	6
4	PM_I_408hpi_root_359	6
4	PM_I_408hpi_root_360	6
4	PS23_I_408hpi_root_361	7
4	PS23_I_408hpi_root_362	7
4	PS23_I_408hpi_root_363	7
4	PS23_I_408hpi_root_364	7
4	PS23_I_408hpi_root_365	7
4	PS23_I_408hpi_root_366	7
4	PMPS23_C_408hpi_root_367	3
4	PMPS23_C_408hpi_root_368	3
4	PMPS23_C_408hpi_root_369	3
4	PMPS23_C_408hpi_root_370	3
4	PMPS23_C_408hpi_root_371	3
4	PMPS23_C_408hpi_root_372	3
