	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
BC_C_0hpi_leaf_102	-3.5021865	0.81993246	-5.1330466	1.2307434	-1.1978567	-5.061018	-0.25935706	-2.3888693	-2.3133345	-0.19332293	-0.10791314	2.201974	-4.3245974	0.27769667	-1.1422563	0.3607291	0.9919956	-1.0825634	1.412502	0.09055266	1.2410818	-0.46107212	-4.0350275	-1.3493903	1.0788286	-1.9024066	-0.38451588	-0.14591545	-0.18513948	2.708658	1.134083	1.010743	0.09337923	0.1289463	-0.08935258	2.8330307	0.7810815	2.430955	-0.24445915	0.17030326	-1.5860693	0.4715676	-3.277849	-2.458439	-0.49884823	0.9075309	-2.4722168	-0.68577856	-1.5065503	0.29934856	-4.854429	-1.4818128	0.44120347	-2.3776834	-1.0801655	1.0567477	-1.0772918	0.007834524	-0.4989041	1.0549439	-0.44395667	-1.30317	1.2924192	2.8244865	-5.9591613	-0.61319125	-0.66901505	0.43109193	-0.53017694	-1.8182248	3.2878404	0.9566758	1.1107056	2.8961525	2.2023535	-2.8999243	-3.3885932	-4.475906	1.4509865	0.26313806
BC_C_0hpi_leaf_118	0.4639026	-0.22429591	-4.369127	3.5002213	-0.819363	-0.8861327	0.5932467	-1.6573923	-1.2453637	-1.756327	0.89095104	2.6226563	-4.4278874	-0.25872356	-0.18255612	2.2502708	0.7789806	-2.506144	0.70060456	1.0938015	1.1156745	-0.4882139	-1.1848147	-1.4302043	-3.6217089	1.891809	1.1210631	-0.13852316	-0.05906085	3.801487	1.3945452	-1.5627398	-1.9260451	-2.487577	0.44389582	4.9496255	0.3799764	4.62064	0.06168787	-0.27382627	-2.5561664	0.4656039	-3.0692933	-3.0391722	0.64001423	1.7573698	-1.9934276	-1.2593806	0.069360614	0.058383472	-4.074814	-1.6107768	0.32108748	-1.3583453	1.3504597	-1.2213504	-0.82246304	2.662465	0.8502623	0.10905936	-1.602579	-2.5336103	1.8512747	2.409834	-4.9918394	-0.64332056	-2.9681227	2.1710162	-2.8317356	-0.73516786	1.405056	-1.125332	0.75719523	2.8729181	4.078803	1.4391829	-2.524588	-2.6175046	1.5813754	-3.1073847
BC_C_0hpi_leaf_119	-1.6114266	1.198456	-5.3616395	-0.5052768	1.8741932	-4.4890738	-0.72548115	0.6883571	-0.88125306	1.1936123	3.2277837	2.3368275	-0.8198688	1.0323149	-0.3753564	2.128593	0.31727734	1.0948199	-1.288919	-0.5518726	1.7710471	1.3854223	-3.3529718	-0.9508926	-1.0177462	-2.8530104	3.0469437	0.561249	-0.5478348	-0.11341733	3.338718	-0.24101827	0.014393762	0.053501964	0.19960892	4.8108487	-0.05791813	2.1089172	-0.98191893	0.3984524	-3.2145627	1.8010389	-4.726039	-2.1316087	0.93075526	0.4625619	-1.0349414	-2.039582	-1.5322616	-0.4678131	-5.3536744	0.24685156	0.71060306	-2.2303445	0.9870559	-1.4134083	-0.997762	0.86500335	-1.6280366	1.9197482	-1.0577588	-0.3224827	2.5938964	2.8861072	-5.7168736	-0.38504225	-2.732178	0.16967344	-1.6654483	-1.2756271	1.7533046	0.66254896	0.19143093	2.4750514	1.2270758	-0.6653099	0.18394029	-4.2554297	1.500428	0.43837714
BC_C_0hpi_leaf_134	-0.85903955	1.0399839	-5.646407	0.46683788	0.97965944	-4.5923805	-0.12395832	-1.3657317	-1.6313193	1.763733	2.659729	2.2144978	-4.0623956	0.6198517	0.73003924	2.0053246	1.672598	-0.3003937	1.1145546	0.54788584	1.8806663	-0.8986409	-1.9156163	-2.3381004	-0.7835956	0.023181714	0.20295298	-0.5713422	0.24857035	2.0537076	1.8572254	-0.6878529	-0.3461061	-1.4263097	-1.111404	5.302602	-0.2787972	4.1259904	-1.2608098	0.3560694	-2.1788914	1.6103415	-3.129041	-2.4139063	-0.6636377	0.24717772	-3.0644875	-1.7222979	-1.7093954	0.068464704	-5.3336687	2.3631468	-0.6257411	-1.8090811	-1.3867582	-0.09980969	0.029655337	-1.3586061	-1.6900413	-0.4911187	-0.33136368	-1.5975739	3.286798	2.77466	-5.5393095	-0.040815756	-3.640627	1.3422589	-1.4946762	-1.8014686	2.9604685	-0.9211071	4.053109	3.7659428	3.9717157	0.7951809	0.8413744	-2.6262226	3.2314758	-1.2197583
BC_C_0hpi_leaf_135	-2.4776907	0.59068716	-4.593554	3.8217745	-0.7094624	-4.5876474	-0.99003077	-1.6526586	-1.1417785	-1.1671348	1.2779791	2.9310703	-1.5934831	1.8585848	0.24275374	-1.02005	0.6246661	-2.0853214	2.4688532	-0.9553797	-0.030858755	0.50500655	-2.6214657	-0.3543898	-1.4813669	0.8151828	0.42050904	-0.29693764	-0.2469936	-0.35950243	2.1867485	0.3338405	0.52984536	-0.61888385	-1.0395899	3.7704723	0.50488627	1.9058284	-0.09649742	0.47424003	-2.756736	-1.8497696	-3.4229171	-3.0405395	-0.50740826	1.1649675	-1.9938209	-1.6283888	-0.2522267	0.49501917	-5.387592	-2.2542462	-0.4862259	-0.9916824	1.2560368	0.70606786	-1.5115197	-0.43784893	-1.9823611	-0.46909302	-0.103366256	-3.0033674	2.587472	2.3391886	-5.5015845	0.18788669	-2.1194153	0.7550327	-3.6080077	-3.9595675	2.2251651	0.48956633	1.8224574	3.0991235	3.8268104	-1.7671543	-1.4219766	-5.0340047	2.1543136	-1.3650483
BC_C_0hpi_leaf_148	-1.2427543	-0.4168455	-7.507937	-1.3428519	0.15762053	-3.0557892	0.71930546	-0.77626956	-0.80907905	-1.5014738	2.0894756	3.9486654	-2.7745028	0.5937481	-0.048687264	0.364827	2.5473258	-3.8637748	0.69262993	-0.8567223	1.6513113	0.07333498	-2.889308	-2.9343755	-0.5177984	0.32829946	1.8304931	1.5094795	-0.19150369	3.1034026	-0.112538815	0.6762573	-0.31520516	-2.190267	-0.70295817	3.2785563	0.5312271	1.7871423	0.6241693	-0.03346078	-3.1527934	1.1012692	-2.516469	-3.0959861	0.30189312	0.4449675	-2.3740296	-0.9716238	-0.76423633	1.8182031	-5.2251825	-3.3191538	0.73825264	-2.0133984	0.21164484	0.8692394	-1.479101	-0.31289542	0.19016254	-1.0737077	-1.8652706	-1.0638894	2.4838727	3.5509288	-5.336842	-1.0465438	-2.9700403	-0.49987853	0.2565943	-4.0986714	1.7465351	0.8821185	0.69854105	1.430177	3.7611537	1.2882715	-0.31322426	-3.80392	4.072499	5.517379
BC_C_0hpi_leaf_149	0.70839906	-0.3367701	-5.4286957	2.9513154	1.1271011	-2.7452652	-0.24917585	-1.5819807	0.9792942	3.018939	3.7627704	6.1861014	-3.188175	-0.19686727	-0.93755555	0.1770104	0.82853127	-1.2186183	2.4031951	-1.0648952	1.8543102	0.93609846	-2.0154934	-1.007427	1.4960951	2.013051	0.67809486	0.3265747	0.41692576	0.2430445	2.4103105	-0.037050523	-0.42394644	-1.55693	-1.7247559	3.7997153	0.44421175	2.9703465	-1.5070708	0.12656605	-2.38151	-1.4680972	-4.625918	-2.6598072	-0.8260578	1.8919263	-5.4764967	-0.17392719	-2.3230944	-0.8887876	-5.92304	-2.3004727	0.79133666	-1.6201391	1.4907541	-0.9030765	0.2164278	0.462193	-0.9754596	0.011463493	-2.2119486	-0.1585542	2.3678045	2.5844796	-5.9935036	-0.59574425	-3.807409	0.0046272976	-1.3974138	0.8598118	3.8988283	0.11537569	0.7317982	2.3678937	2.1106462	0.7906532	-1.7997739	-3.0090532	1.7050219	-0.19724
BC_I_30hpi_leaf_238	-1.0249219	-0.15032691	-4.5418987	-2.3812592	0.015736327	-0.47922707	0.38243127	-0.17571783	-1.2754849	-1.6176662	1.0360235	0.8005126	-0.013612032	0.69043356	-0.923676	0.09175692	1.3049624	1.2033486	1.534049	-0.39436474	0.6959771	1.4612346	-3.6079054	-0.8692919	-1.3979344	-3.6306489	1.2863638	0.9981075	0.2019127	0.31115547	1.718138	-3.0080416	-1.2344406	0.44343978	-1.5006828	1.560904	-0.31874412	2.6068015	-0.045545474	-0.40954962	-2.0182762	1.2103668	-3.102997	-0.58088446	-0.21859974	1.2220505	-1.9502089	0.15481651	-0.9584187	0.04053232	-3.2415218	0.93418276	0.51923853	-0.11664921	-1.5931674	0.23133032	0.026070535	-0.38297305	0.1114617	0.76113105	-0.45253456	0.07172048	2.984969	2.9737933	-2.9262342	-0.08186826	-0.944158	-0.86410475	-0.31725004	-1.4481876	1.9561259	-2.1874528	0.14421725	1.8574919	2.123599	-1.839765	-0.07882944	-2.2484832	-1.060699	-2.315217
BC_I_30hpi_leaf_239	-1.7881843	-0.5054538	-5.589475	3.7349076	-1.3578919	-4.9398303	0.5398607	-2.149097	-1.4759134	-1.0092463	1.8054378	2.8396468	-2.1631687	-0.48676988	-0.8226012	0.8786298	-0.9860244	-2.6106548	-0.9576121	-1.5978731	-0.010764718	1.8011848	-4.511393	0.46104085	-1.1210072	0.25044078	0.080252856	1.1959453	0.61325943	1.419347	3.009757	-0.58875513	0.73757476	-1.1591833	0.38955498	2.7756162	1.4629211	3.4352503	-0.7616595	-0.8781271	-2.702849	1.8471749	-2.8493192	2.4564586	1.5869882	2.674195	-2.0112765	-2.136416	-1.7920867	0.5464371	-3.369699	-0.1328817	0.4478615	-0.47746113	0.21555853	0.45366102	-0.6011557	-0.5120708	-0.95921654	-0.8483286	-0.8448246	-1.522732	2.2136655	2.8750753	-3.2903464	-0.98955494	-2.2936683	-0.8017394	0.23739254	-1.6076378	0.2164793	0.3054151	1.8564262	0.6554054	2.59515	-2.0717788	0.17598027	-3.6764102	2.8732777	-1.9111859
BC_I_30hpi_leaf_254	0.62494874	-0.16357258	-1.213445	1.2020772	0.6398672	-0.68164253	3.8716908	-1.5353734	-0.4556437	-1.8040189	-1.3995082	0.6303146	-1.2902787	-0.1720337	-0.37883374	-0.38009638	-0.46194428	-0.5819936	0.48176432	0.2652167	1.4181921	2.3132093	-1.5344194	-0.95381033	-0.9624387	0.1687491	2.047996	0.6167025	-1.1271449	-1.1095067	0.78410375	-2.1622555	-0.024197698	-1.720946	1.1016498	1.0708904	-0.657063	1.5501544	1.6126848	-0.7585882	-0.1667816	-0.061525166	0.9055731	-5.2193727	-1.3673437	-1.7177991	1.0065274	-2.679066	-2.2058134	1.1534634	-2.152587	-0.15246549	-0.37560886	1.1925029	-1.3218932	0.2007466	0.2789697	0.47889104	-1.0322886	-0.46152693	2.1791806	0.9379039	-0.37181544	3.0075169	-1.5257043	1.0507016	-0.67417157	1.7181785	0.31991214	-0.84765935	-0.70104456	-0.2445113	-0.011363924	0.40743297	1.1487281	0.8829651	0.7216767	-0.6734159	-0.6522233	-0.85270786
