TF	Target_Gene
Solyc01g065540	Solyc12g010270
Solyc01g065540	Solyc12g010250
Solyc01g065540	Solyc11g068940
Solyc01g065540	Solyc08g080690
Solyc01g065540	Solyc08g065230
Solyc01g065540	Solyc07g053900
Solyc01g065540	Solyc07g043620
Solyc01g065540	Solyc05g051060
Solyc01g065540	Solyc05g009010
Solyc01g065540	Solyc03g121540
Solyc01g065540	Solyc03g031890
Solyc01g065540	Solyc02g061790
Solyc01g065540	Solyc01g094700
Solyc01g087990	Solyc12g008900
Solyc01g087990	Solyc11g065090
Solyc01g087990	Solyc11g040330
Solyc01g087990	Solyc07g063650
Solyc01g087990	Solyc07g049560
Solyc01g087990	Solyc07g042260
Solyc01g087990	Solyc07g041340
Solyc01g087990	Solyc07g007890
Solyc01g087990	Solyc07g006500
Solyc01g087990	Solyc06g075450
Solyc01g087990	Solyc06g069450
Solyc01g087990	Solyc04g049800
Solyc01g087990	Solyc03g083140
Solyc01g087990	Solyc02g081330
Solyc01g087990	Solyc02g069420
Solyc01g087990	Solyc01g106460
Solyc01g095460	Solyc12g098850
Solyc01g095460	Solyc12g006120
Solyc01g095460	Solyc11g072840
Solyc01g095460	Solyc11g012880
Solyc01g095460	Solyc11g010170
Solyc01g095460	Solyc10g085680
Solyc01g095460	Solyc10g081040
Solyc01g095460	Solyc10g055450
Solyc01g095460	Solyc09g092130
Solyc01g095460	Solyc09g091240
Solyc01g095460	Solyc09g090930
Solyc01g095460	Solyc09g074360
Solyc01g095460	Solyc09g065630
Solyc01g095460	Solyc09g064820
Solyc01g095460	Solyc09g018790
Solyc01g095460	Solyc09g011160
Solyc01g095460	Solyc09g007990
Solyc01g095460	Solyc09g005120
Solyc01g095460	Solyc08g082590
Solyc01g095460	Solyc08g080690
Solyc01g095460	Solyc08g076690
Solyc01g095460	Solyc08g008550
Solyc01g095460	Solyc07g065880
Solyc01g095460	Solyc07g053170
Solyc01g095460	Solyc07g053140
Solyc01g095460	Solyc07g045140
Solyc01g095460	Solyc06g083680
Solyc01g095460	Solyc06g076140
Solyc01g095460	Solyc06g075650
Solyc01g095460	Solyc06g072050
Solyc01g095460	Solyc06g071480
Solyc01g095460	Solyc06g070900
