Gene_Name	In_Degree	Out_Degree	Total_Degree
Solyc01g065540	0	13	13
Solyc12g010270	1	0	1
Solyc12g010250	1	0	1
Solyc11g068940	2	0	2
Solyc08g080690	7	0	7
Solyc08g065230	7	0	7
Solyc07g053900	5	0	5
Solyc07g043620	3	0	3
Solyc05g051060	5	0	5
Solyc05g009010	1	0	1
Solyc03g121540	3	0	3
Solyc03g031890	3	0	3
Solyc02g061790	3	0	3
Solyc01g094700	5	0	5
Solyc01g087990	1	16	17
Solyc12g008900	1	0	1
Solyc11g065090	1	0	1
Solyc11g040330	1	0	1
Solyc07g063650	1	0	1
Solyc07g049560	3	0	3
Solyc07g042260	2	0	2
Solyc07g041340	1	0	1
Solyc07g007890	1	0	1
Solyc07g006500	2	0	2
Solyc06g075450	2	0	2
Solyc06g069450	1	0	1
Solyc04g049800	1	0	1
Solyc03g083140	1	0	1
Solyc02g081330	1	0	1
Solyc02g069420	1	0	1
Solyc01g106460	1	0	1
Solyc01g095460	5	80	85
Solyc12g098850	7	0	7
Solyc12g006120	6	0	6
Solyc11g072840	2	0	2
Solyc11g012880	2	0	2
Solyc11g010170	6	0	6
Solyc10g085680	4	0	4
Solyc10g081040	9	0	9
Solyc10g055450	6	0	6
Solyc09g092130	9	0	9
Solyc09g091240	6	0	6
Solyc09g090930	1	0	1
Solyc09g074360	5	0	5
Solyc09g065630	5	0	5
Solyc09g064820	5	0	5
Solyc09g018790	5	0	5
Solyc09g011160	7	0	7
Solyc09g007990	8	0	8
Solyc09g005120	7	0	7
Solyc08g082590	12	0	12
Solyc08g076690	5	0	5
Solyc08g008550	4	0	4
Solyc07g065880	9	0	9
Solyc07g053170	4	0	4
Solyc07g053140	7	0	7
Solyc07g045140	7	0	7
Solyc06g083680	6	0	6
Solyc06g076140	5	0	5
Solyc06g075650	8	0	8
Solyc06g072050	4	0	4
Solyc06g071480	5	117	122
Solyc06g070900	5	67	72
Solyc06g068690	1	0	1
Solyc06g066090	5	0	5
Solyc06g060310	5	0	5
Solyc06g053830	6	0	6
Solyc05g052420	12	0	12
Solyc05g024020	3	0	3
Solyc05g018210	5	0	5
Solyc05g009150	10	0	10
Solyc04g081890	7	0	7
Solyc04g081810	5	0	5
Solyc04g079690	11	0	11
Solyc04g076020	2	0	2
Solyc04g054890	7	0	7
Solyc04g051690	6	0	6
Solyc04g008230	6	0	6
Solyc04g005830	3	0	3
Solyc04g005820	3	0	3
Solyc03g119450	4	0	4
Solyc03g118670	5	0	5
Solyc03g118620	7	0	7
Solyc03g117680	11	0	11
Solyc03g116750	5	0	5
Solyc03g114160	10	0	10
Solyc03g112930	4	117	121
Solyc03g083190	5	0	5
Solyc03g051770	6	0	6
Solyc03g025340	6	0	6
Solyc03g005770	3	0	3
Solyc02g093590	5	0	5
Solyc02g093190	6	0	6
Solyc02g091660	4	0	4
Solyc02g091010	5	0	5
Solyc02g089990	8	0	8
Solyc02g086300	4	0	4
Solyc02g023990	1	0	1
Solyc01g109870	6	0	6
Solyc01g109060	3	0	3
Solyc01g106280	10	0	10
Solyc01g105410	6	0	6
Solyc01g103170	7	0	7
Solyc01g095670	4	0	4
Solyc01g095200	6	0	6
Solyc01g094750	5	0	5
Solyc01g094720	9	0	9
Solyc01g088020	6	0	6
Solyc01g080160	6	0	6
Solyc01g067890	5	0	5
Solyc01g005640	5	0	5
Solyc01g102300	0	69	69
Solyc12g099400	2	0	2
Solyc12g088680	2	0	2
Solyc12g055930	4	0	4
Solyc11g056680	7	0	7
Solyc11g008250	2	0	2
Solyc10g086650	9	0	9
Solyc10g079880	5	0	5
Solyc10g007960	1	0	1
Solyc09g091370	2	0	2
Solyc09g082560	2	0	2
Solyc09g007830	3	0	3
Solyc08g082120	6	0	6
Solyc08g061980	3	0	3
Solyc08g005610	3	0	3
Solyc07g064080	4	0	4
Solyc07g061890	1	0	1
Solyc07g053450	3	0	3
Solyc07g026650	1	0	1
Solyc06g076390	5	0	5
Solyc06g074170	6	41	47
Solyc06g069600	6	0	6
Solyc06g035690	4	0	4
Solyc04g082000	8	0	8
Solyc04g080820	3	0	3
Solyc03g120170	9	0	9
Solyc03g119520	4	0	4
Solyc02g093220	5	0	5
Solyc02g092790	3	0	3
Solyc02g092670	1	0	1
Solyc02g090900	4	0	4
Solyc02g081340	4	0	4
Solyc02g078810	4	0	4
Solyc02g078460	5	0	5
Solyc02g063190	1	0	1
Solyc01g110550	2	0	2
Solyc01g108400	1	0	1
Solyc01g100980	4	0	4
Solyc01g099660	2	0	2
Solyc01g096510	2	0	2
Solyc01g103050	1	11	12
Solyc11g065040	1	0	1
Solyc10g051270	2	0	2
Solyc08g079790	2	0	2
Solyc08g075670	1	0	1
Solyc07g008190	9	0	9
Solyc06g066030	5	0	5
Solyc03g078650	1	0	1
Solyc03g008010	8	0	8
Solyc02g093130	6	0	6
Solyc02g092000	1	0	1
Solyc01g104760	1	19	20
Solyc11g017200	1	0	1
Solyc11g016940	1	0	1
Solyc11g012470	1	0	1
Solyc11g011490	1	0	1
Solyc11g008550	3	0	3
Solyc10g024320	1	0	1
Solyc09g091910	1	0	1
Solyc08g078810	2	0	2
Solyc08g066590	1	0	1
Solyc06g007610	1	0	1
Solyc05g026240	1	0	1
Solyc05g013780	1	0	1
Solyc05g012400	2	0	2
Solyc05g011940	3	0	3
Solyc05g008450	4	0	4
Solyc04g012180	1	0	1
Solyc03g117730	8	0	8
Solyc01g098540	2	0	2
Solyc01g007250	1	0	1
Solyc01g108080	0	12	12
Solyc08g080150	2	69	71
Solyc04g011610	4	0	4
Solyc02g089330	3	0	3
Solyc02g079850	2	0	2
Solyc02g077840	2	146	148
Solyc01g105980	4	0	4
Solyc01g088240	4	0	4
Solyc02g062950	0	85	85
Solyc11g068760	2	0	2
Solyc11g066370	2	0	2
Solyc11g011970	2	0	2
Solyc10g037900	1	0	1
Solyc08g074710	4	0	4
Solyc07g066350	6	0	6
Solyc07g041210	5	0	5
Solyc07g008880	2	0	2
Solyc06g068140	1	0	1
Solyc05g051380	1	0	1
Solyc05g005080	1	0	1
Solyc04g008090	4	0	4
Solyc03g097980	3	0	3
Solyc03g059360	1	0	1
Solyc02g090890	5	0	5
Solyc02g078160	2	0	2
Solyc02g077770	2	0	2
Solyc01g112060	1	0	1
Solyc12g099360	4	0	4
Solyc12g099280	6	0	6
Solyc12g096590	4	0	4
Solyc12g094510	7	0	7
Solyc12g089100	1	0	1
