source	target	reg.evidence
Solyc03g093550	Solyc02g076730	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc02g069260	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc02g068750	FunTFBS, motif
Solyc03g093550	Solyc02g062910	motif, motif_CE
Solyc03g093550	Solyc02g022870	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g105980	motif, motif_CE
Solyc03g093550	Solyc01g105700	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g103490	motif, motif_CE
Solyc03g093550	Solyc01g102810	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g100750	motif, motif_CE
Solyc03g093550	Solyc01g100360	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g096210	motif, motif_CE
Solyc03g093550	Solyc01g095200	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g095130	motif, motif_CE
Solyc03g093550	Solyc01g094700	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g094230	motif, motif_CE
Solyc03g093550	Solyc01g091940	motif, motif_CE
Solyc03g093550	Solyc01g091930	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g088630	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g079640	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g068480	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g057520	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g010440	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g006980	motif, motif_CE
Solyc03g093550	Solyc01g005860	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc01g005020	motif, motif_CE
Solyc03g093550	Solyc12g098950	motif, motif_CE
Solyc03g093550	Solyc12g098820	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g098790	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g094510	motif, motif_CE
Solyc03g093550	Solyc12g088900	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g077540	FunTFBS, motif
Solyc03g093550	Solyc12g044400	motif, motif_CE
Solyc03g093550	Solyc12g043020	FunTFBS, motif
Solyc03g093550	Solyc12g042900	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g017830	motif, motif_CE
Solyc03g093550	Solyc12g014290	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g010900	motif, motif_CE
Solyc03g093550	Solyc12g009240	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g007200	motif, motif_CE
Solyc03g093550	Solyc12g007130	motif, motif_CE
Solyc03g093550	Solyc12g007110	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc12g005500	motif, motif_CE
Solyc03g093550	Solyc11g072410	motif, motif_CE
Solyc03g093550	Solyc11g072070	motif, motif_CE
Solyc03g093550	Solyc11g070060	motif, motif_CE
Solyc03g093550	Solyc11g069090	motif, motif_CE
Solyc03g093550	Solyc11g068900	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc11g068870	motif, motif_CE
Solyc03g093550	Solyc11g068830	motif, motif_CE
Solyc03g093550	Solyc11g067280	motif, motif_CE
Solyc03g093550	Solyc11g066730	motif, motif_CE
Solyc03g093550	Solyc11g066020	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc11g065220	motif, motif_CE
Solyc03g093550	Solyc11g042640	motif, motif_CE
Solyc03g093550	Solyc11g039910	motif, motif_CE
Solyc03g093550	Solyc11g039830	motif, motif_CE
Solyc03g093550	Solyc11g033280	FunTFBS, motif
Solyc03g093550	Solyc11g020710	motif, motif_CE
Solyc03g093550	Solyc11g019960	motif, motif_CE
Solyc03g093550	Solyc11g017300	motif, motif_CE
Solyc03g093550	Solyc11g011010	motif, motif_CE
Solyc03g093550	Solyc11g010560	motif, motif_CE
Solyc03g093550	Solyc11g007940	motif, motif_CE
Solyc03g093550	Solyc11g007770	motif, motif_CE
Solyc03g093550	Solyc11g007720	motif, motif_CE
Solyc03g093550	Solyc11g006760	motif, motif_CE
Solyc03g093550	Solyc11g006700	motif, motif_CE
Solyc03g093550	Solyc11g005280	motif, motif_CE
Solyc03g093550	Solyc11g005130	motif, motif_CE
Solyc03g093550	Solyc11g005050	motif, motif_CE
Solyc03g093550	Solyc10g086120	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g085970	motif, motif_CE
Solyc03g093550	Solyc10g085490	FunTFBS, motif
Solyc03g093550	Solyc10g085410	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g085050	motif, motif_CE
Solyc03g093550	Solyc10g084170	motif, motif_CE
Solyc03g093550	Solyc10g083760	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g083180	FunTFBS, motif
Solyc03g093550	Solyc10g080320	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g080080	motif, motif_CE
Solyc03g093550	Solyc10g080020	FunTFBS, motif
Solyc03g093550	Solyc10g079850	motif, motif_CE
Solyc03g093550	Solyc10g079500	FunTFBS, motif
Solyc03g093550	Solyc10g054570	motif, motif_CE
Solyc03g093550	Solyc10g054320	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g051340	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g050890	motif, motif_CE
Solyc03g093550	Solyc10g050850	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g047640	FunTFBS, motif
Solyc03g093550	Solyc10g045180	motif, motif_CE
Solyc03g093550	Solyc10g038130	FunTFBS, motif
Solyc03g093550	Solyc10g008850	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc10g008800	motif, motif_CE
Solyc03g093550	Solyc10g006140	motif, motif_CE
Solyc03g093550	Solyc09g097850	motif, motif_CE
Solyc03g093550	Solyc09g092100	FunTFBS, motif
Solyc03g093550	Solyc09g092070	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc09g091420	motif, motif_CE
Solyc03g093550	Solyc09g091230	motif, motif_CE
Solyc03g093550	Solyc09g090830	FunTFBS, motif
Solyc03g093550	Solyc09g090080	FunTFBS, motif
Solyc03g093550	Solyc09g089740	FunTFBS, motif
Solyc03g093550	Solyc09g076010	motif, motif_CE
Solyc03g093550	Solyc09g064840	motif, motif_CE
Solyc03g093550	Solyc09g061430	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc09g059460	motif, motif_CE
Solyc03g093550	Solyc09g059310	motif, motif_CE
Solyc03g093550	Solyc09g011030	FunTFBS, motif
Solyc03g093550	Solyc09g010840	motif, motif_CE
Solyc03g093550	Solyc09g010650	motif, motif_CE
Solyc03g093550	Solyc09g009440	motif, motif_CE
Solyc03g093550	Solyc09g009140	motif, motif_CE
Solyc03g093550	Solyc09g005710	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g082640	FunTFBS, motif
Solyc03g093550	Solyc08g082590	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g079700	motif, motif_CE
Solyc03g093550	Solyc08g079590	motif, motif_CE
Solyc03g093550	Solyc08g078990	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g078320	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g077990	FunTFBS, motif
Solyc03g093550	Solyc08g077450	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g076690	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g075950	motif, motif_CE
Solyc03g093550	Solyc08g075160	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc08g074520	motif, motif_CE
Solyc03g093550	Solyc08g067190	motif, motif_CE
Solyc03g093550	Solyc08g066760	motif, motif_CE
Solyc03g093550	Solyc08g066140	motif, motif_CE
Solyc03g093550	Solyc08g065230	motif, motif_CE
Solyc03g093550	Solyc08g041890	motif, motif_CE
Solyc03g093550	Solyc08g023500	motif, motif_CE
Solyc03g093550	Solyc08g008170	FunTFBS, motif
Solyc03g093550	Solyc08g007370	motif, motif_CE
Solyc03g093550	Solyc07g066190	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc07g065760	motif, motif_CE
Solyc03g093550	Solyc07g065470	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc07g064520	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc07g064230	motif, motif_CE
Solyc03g093550	Solyc07g063900	motif, motif_CE
Solyc03g093550	Solyc07g063510	motif, motif_CE
Solyc03g093550	Solyc07g054810	motif, motif_CE
Solyc03g093550	Solyc07g049560	motif, motif_CE
Solyc03g093550	Solyc07g042970	motif, motif_CE
Solyc03g093550	Solyc07g041750	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc07g040940	FunTFBS, motif
Solyc03g093550	Solyc07g020870	motif, motif_CE
Solyc03g093550	Solyc07g008190	motif, motif_CE
Solyc03g093550	Solyc07g007210	FunTFBS, motif
Solyc03g093550	Solyc07g006820	motif, motif_CE
Solyc03g093550	Solyc06g084510	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc06g084470	motif, motif_CE
Solyc03g093550	Solyc06g083200	motif, motif_CE
Solyc03g093550	Solyc06g082990	motif, motif_CE
Solyc03g093550	Solyc06g082100	FunTFBS, motif
Solyc03g093550	Solyc06g076050	FunTFBS, motif
Solyc03g093550	Solyc06g076040	FunTFBS, motif
Solyc03g093550	Solyc06g073980	FunTFBS, motif
Solyc03g093550	Solyc06g072830	motif, motif_CE
Solyc03g093550	Solyc06g069520	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc06g066610	motif, motif_CE
Solyc03g093550	Solyc06g060540	motif, motif_CE
Solyc03g093550	Solyc06g051660	FunTFBS, motif
Solyc03g093550	Solyc06g007620	motif, motif_CE
Solyc03g093550	Solyc06g007250	motif, motif_CE
Solyc03g093550	Solyc05g054730	motif, motif_CE
Solyc03g093550	Solyc05g054210	motif, motif_CE
Solyc03g093550	Solyc05g052420	motif, motif_CE
Solyc03g093550	Solyc05g051340	FunTFBS, motif
Solyc03g093550	Solyc05g044620	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc05g026380	motif, motif_CE
Solyc03g093550	Solyc05g015500	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc05g012480	motif, motif_CE
Solyc03g093550	Solyc05g009890	FunTFBS, motif
Solyc03g093550	Solyc05g009350	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc05g009320	motif, motif_CE
Solyc03g093550	Solyc05g008560	motif, motif_CE
Solyc03g093550	Solyc05g007590	motif, motif_CE
Solyc03g093550	Solyc04g082690	FunTFBS, motif
Solyc03g093550	Solyc04g082000	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g081890	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g081530	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g081050	motif, motif_CE
Solyc03g093550	Solyc04g080380	motif, motif_CE
Solyc03g093550	Solyc04g079690	motif, motif_CE
Solyc03g093550	Solyc04g078420	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g078390	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g077940	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g077870	motif, motif_CE
Solyc03g093550	Solyc04g077130	motif, motif_CE
Solyc03g093550	Solyc04g076850	motif, motif_CE
Solyc03g093550	Solyc04g076290	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g074710	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g074280	motif, motif_CE
Solyc03g093550	Solyc04g072230	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g071920	motif, motif_CE
Solyc03g093550	Solyc04g071130	FunTFBS, motif
Solyc03g093550	Solyc04g071040	motif, motif_CE
Solyc03g093550	Solyc04g064860	FunTFBS, motif
Solyc03g093550	Solyc04g064750	motif, motif_CE
Solyc03g093550	Solyc04g056280	FunTFBS, motif, motif_CE
Solyc03g093550	Solyc04g054170	motif, motif_CE
Solyc03g093550	Solyc04g050040	motif, motif_CE
Solyc03g093550	Solyc04g026220	motif, motif_CE
Solyc03g093550	Solyc04g016160	FunTFBS, motif
Solyc03g093550	Solyc04g009720	FunTFBS, motif
Solyc03g093550	Solyc04g008790	motif, motif_CE
Solyc03g093550	Solyc04g008450	motif, motif_CE
Solyc03g093550	Solyc04g007700	motif, motif_CE
Solyc03g093550	Solyc03g120170	FunTFBS, motif, motif_CE
