gene.name	gene.description	gene.family
Solyc00g500063	Ribulose bisphosphate carboxylase large chain (AHRD V3.3 *** A0A2G2Z7Q2_CAPAN)	
Solyc00g500095	Phenylalanine ammonia-lyase (AHRD V3.3 *** A0A2G2VZP0_CAPBA)	
Solyc00g500103	NADH-ubiquinone oxidoreductase chain 5 (AHRD V3.3 *-* A0A0C5ARN6_HYONI)	
Solyc00g014850	orf86 (mitochondrion) (AHRD V3.3 *** YP_002608396.1)	
Solyc00g500185	NADH dehydrogenase subunit 7 (AHRD V3.3 *-* G9FCP1_9LAMI)	
Solyc00g020040	Cytochrome c biogenesis B (AHRD V3.3 *** A0A0C5B708_9SOLA)	
Solyc00g020020	Unknown protein	
Solyc00g020010	Unknown protein	
Solyc00g019950	NADH dehydrogenase subunit 9 (AHRD V3.11 *** tr|A0A290WKX8|A0A290WKX8_SOLLC)	
Solyc00g021630	NADH-ubiquinone oxidoreductase chain 6 (AHRD V3.3 *** A0A0C5B7I5_9SOLA)	
Solyc00g160750	Polyadenylate-binding protein RBP47B (AHRD V3.11 *-* tr|A0A2G3BE08|A0A2G3BE08_CAPCH)	
Solyc09g074460	RING/U-box superfamily protein (AHRD V3.3 *-* A0A2U1PFG2_ARTAN)	
Solyc09g074470	Kinase interacting (KIP1-like) protein (AHRD V3.3 *** A0A2K3LEM5_TRIPR)	
Solyc09g074590	Monothiol glutaredoxin-S2 (AHRD V3.3 *** A0A2G2VZS0_CAPBA)	
Solyc09g074620	zinc metalloproteinase aureolysin (AHRD V3.3 *** AT3G62920.1)	
Solyc09g074630	BTB domain-containing protein/NPH3 domain-containing protein (AHRD V3.3 *** A0A1Q3CT76_CEPFO)	
Solyc09g074710	Homeobox protein LUMINIDEPENDENS (AHRD V3.3 *-* A0A2G2ZWA4_CAPAN)	
Solyc09g074740	Cation efflux family protein (AHRD V3.3 *-* A0A2U1NZ88_ARTAN)	
Solyc09g074850	Glutathione S-transferase (AHRD V3.3 *** A0A2G3CTS1_CAPCH)	
Solyc09g074900	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (AHRD V3.11 *** tr|A0A1U8GCH1|A0A1U8GCH1_CAPAN)	
Solyc09g074910	Peripheral-type benzodiazepine receptor (AHRD V3.3 *** Q6A151_SOLTU)	
Solyc09g074940	(DB240) meloidogyne-induced giant cell protein	
Solyc09g074990	DNA mismatch repair protein PM.1	
Solyc09g075040	SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-like protein (AHRD V3.3 *** B3H7B1_ARATH)	
